qid,modelLabel,ano_inicio,ano_fim,countryLabel,instanceOfLabel
Q106097127,Q106097127,,,,modelo de automóvel
Q112635444,Q112635444,,,,modelo de automóvel
Q116430989,Q116430989,,,,modelo de automóvel
Q116430989,Q116430989,,,,modelo de automóvel
Q11837544,Q11837544,,,,bus model
Q132753596,Q132753596,,,,modelo de automóvel
Q132753607,Q132753607,,,,modelo de automóvel
Q135984188,Q135984188,,,,modelo de automóvel
Q135984189,Q135984189,,,,modelo de automóvel
Q136029676,Q136029676,,,,modelo de automóvel
Q2506785,Q2506785,,,,carro conceptual
Q2506785,Q2506785,,,,modelo de automóvel
Q2506888,Q2506888,,,,modelo de automóvel
Q25393205,Q25393205,,,,modelo de automóvel
Q9369095,Q9369095,,,,truck model
Q911580,Brezelkäfer,,,,modelo de automóvel
Q65129018,Cupra Formentor,,,,modelo de automóvel
Q1347004,Porsche 914,,,,modelo de automóvel
Q131421569,VW Tayron L,,,,modelo de automóvel
Q2506944,VW Touran HyMotion,,,,carro conceptual
Q2506944,VW Touran HyMotion,,,,modelo de automóvel
Q4845447,Volkswagen ARVW,,,,carro conceptual
Q4845447,Volkswagen ARVW,,,,modelo de automóvel
Q24883601,Volkswagen Ameo,,,,modelo de automóvel
Q12072925,Volkswagen Bora (2007),,,,modelo de automóvel
Q27926746,Volkswagen C-Trek,,,,modelo de automóvel
Q18510655,Volkswagen Caddy Typ 2K,,,,modelo de automóvel
Q18510648,Volkswagen Caddy Typ 9K,,,,modelo de automóvel
Q86727675,Volkswagen Caddy V,,,,modelo de automóvel
Q1026786,Volkswagen California,,,,modelo de automóvel
Q7940304,Volkswagen Concept R,,,,modelo de automóvel
Q7940304,Volkswagen Concept R,,,,modelo de automóvel
Q1143430,Volkswagen Country Buggy,,,,modelo de automóvel
Q23637401,Volkswagen Cross Coupe GTE Concept,,,,modelo de automóvel
Q7940306,Volkswagen CrossBlue,,,,modelo de automóvel
Q7940309,Volkswagen Doublecab,,,,modelo de automóvel
Q221794,Volkswagen EA489 Basistransporter,,,,truck model
Q1520000,Volkswagen Golf Cabriolet,,,,modelo de automóvel
Q3562806,Volkswagen Golf City,,,,modelo de automóvel
Q1393500,Volkswagen Golf Mk2,,,Alemanha,modelo de automóvel
Q1419308,Volkswagen Golf Mk4,,,Alemanha,modelo de automóvel
Q1428988,Volkswagen Golf Mk5,,,Alemanha,modelo de automóvel
Q1417956,Volkswagen Golf Mk6,,,Alemanha,modelo de automóvel
Q62362,Volkswagen Golf Mk7,,,Alemanha,modelo de automóvel
Q56403002,Volkswagen Golf Mk8,,,Alemanha,modelo de automóvel
Q12072922,Volkswagen Golf R,,,,modelo de automóvel
Q12072923,Volkswagen Golf R32,,,,modelo de automóvel
Q1779716,Volkswagen Golf Variant,,,,modelo de automóvel
Q13410061,Volkswagen Gran Lavida,,,,modelo de automóvel
Q25386732,Volkswagen Gran Santana,,,,modelo de automóvel
Q108430636,Volkswagen ID. Life,,,,modelo de automóvel
Q136088543,Volkswagen ID. Polo,,,,modelo de automóvel
Q136804241,Volkswagen ID. UNYX 06,,,,modelo de automóvel
Q136522736,Volkswagen ID. UNYX 07,,,,modelo de automóvel
Q136758882,Volkswagen ID. UNYX 08,,,,modelo de automóvel
Q125739580,Volkswagen ID.3 Chuzhong,,,Alemanha,modelo de automóvel
Q124471809,Volkswagen ID.4 Crozz,,,Alemanha,modelo de automóvel
Q131136320,Volkswagen ID.6 Crozz,,,,modelo de automóvel
Q131136408,Volkswagen ID.6 X,,,,modelo de automóvel
Q124884295,Volkswagen ID.7 Tourer,,,,modelo de automóvel
Q3562808,Volkswagen Jetta City,,,,modelo de automóvel
Q2506811,Volkswagen Jetta I,,,,modelo de automóvel
Q282455,Volkswagen Jetta II,,,,modelo de automóvel
Q1386561,Volkswagen Jetta König,,,,modelo de automóvel
Q13386136,Volkswagen Jetta Night,,,,modelo de automóvel
Q13389960,Volkswagen Jetta Pionier,,,,modelo de automóvel
Q56218637,Volkswagen Jetta VII,,,,modelo de automóvel
Q2506832,Volkswagen Karmann-Ghia,,,,modelo de automóvel
Q738217,Volkswagen L80,,,,truck model
Q6461749,Volkswagen Lupo GTI,,,,modelo de automóvel
Q2506854,Volkswagen Magotan,,,,modelo de automóvel
Q2043482,Volkswagen Multivan,,,,modelo de automóvel
Q2506891,Volkswagen New Santana,,,,modelo de automóvel
Q1784892,Volkswagen Passat B3,,,,modelo de automóvel
Q1785526,Volkswagen Passat B4,,,,modelo de automóvel
Q2007797,Volkswagen Passat B5,,,,modelo de automóvel
Q2007788,Volkswagen Passat B6,,,,modelo de automóvel
Q1140232,Volkswagen Passat B7,,,,modelo de automóvel
Q15305561,Volkswagen Passat B8,,,,modelo de automóvel
Q122145519,Volkswagen Passat B9,,,,modelo de automóvel
Q13415255,Volkswagen Passat Variant,,,,modelo de automóvel
Q60748228,Volkswagen Polo GTI R5,,,,modelo de automóvel
Q2712614,Volkswagen Polo Mk1,,,,modelo de automóvel
Q2712614,Volkswagen Polo Mk1,,,,automobile model series
Q460634,Volkswagen Polo Mk2,,,,modelo de automóvel
Q460634,Volkswagen Polo Mk2,,,,automobile model series
Q500900,Volkswagen Polo Mk3,,,,modelo de automóvel
Q500900,Volkswagen Polo Mk3,,,,automobile model series
Q1468621,Volkswagen Polo Mk4,,,,modelo de automóvel
Q2063072,Volkswagen Polo Mk5,,,,modelo de automóvel
Q2063072,Volkswagen Polo Mk5,,,,automobile model series
Q97773470,Volkswagen Polo Sedan,,,,modelo de automóvel
Q14516278,Volkswagen Polo Super 2000,,,,modelo de automóvel
Q30349121,Volkswagen Polo VI,,,,passenger car
Q30349121,Volkswagen Polo VI,,,,modelo de automóvel
Q2506900,Volkswagen Polo Variant,,,,modelo de automóvel
Q15989126,Volkswagen Polo sedan,,,,modelo de automóvel
Q47089190,Volkswagen Race Touareg 2,,,,modelo de automóvel
Q47089169,Volkswagen Race Touareg 3,,,,modelo de automóvel
Q7408947,Volkswagen Samba,,,,modelo de automóvel
Q7408947,Volkswagen Samba,,,,modelo de automóvel
Q2506895,Volkswagen Santana 2000,,,,modelo de automóvel
Q18029036,Volkswagen Scirocco I,,,,modelo de automóvel
Q18029037,Volkswagen Scirocco II,,,,modelo de automóvel
Q18029039,Volkswagen Scirocco III,,,,modelo de automóvel
Q2506929,Volkswagen Sharan I,,,,modelo de automóvel
Q2506933,Volkswagen Sharan II,,,,modelo de automóvel
Q19310700,Volkswagen T2 electric,,,,modelo de automóvel
Q97813566,Volkswagen Tayron X,,,,modelo de automóvel
Q106518090,Volkswagen Teramont,,,,modelo de automóvel
Q66723843,Volkswagen Tiguan I,,,Alemanha,modelo de automóvel
Q27903023,Volkswagen Tiguan II,,,Alemanha,modelo de automóvel
Q122382000,Volkswagen Tiguan III,,,Alemanha,modelo de automóvel
Q106488554,Volkswagen Tiguan X,,,,modelo de automóvel
Q2506940,Volkswagen Touareg I,,,,modelo de automóvel
Q1278173,Volkswagen Touareg II,,,,modelo de automóvel
Q15229546,Volkswagen Touran I,,,,modelo de automóvel
Q15229553,Volkswagen Touran II,,,,modelo de automóvel
Q3565043,Volkswagen Transporter T5,,,,modelo de automóvel
Q5112030,Volkswagen Type 14A,,,,modelo de automóvel
Q7940336,Volkswagen Type 18A,,,,modelo de automóvel
Q1819861,Volkswagen Type 2 (T1),,,,modelo de automóvel
Q2506917,Volkswagen Type 2 (T2),,,,modelo de automóvel
Q1340673,Volkswagen Type 2 (T3),,,,modelo de automóvel
Q2506839,Volkswagen Type 34,,,,modelo de automóvel
Q1418315,Volkswagen Vento,,,,modelo de automóvel
Q32860581,Volkswagen Vento (A05),,,,modelo de automóvel
Q2532319,Volkswagen eT!,,,,carro conceptual
Q2532319,Volkswagen eT!,,,,modelo de automóvel
Q4016142,Volksrod,,,,modelo de automóvel
Q1304264,Volkswagen 1-litre concept,,,,carro conceptual
Q1304264,Volkswagen 1-litre concept,,,,modelo de automóvel
Q1027973,Volkswagen Amarok,,,,modelo de automóvel
Q2506904,Volkswagen Apollo,,,,modelo de automóvel
Q27765737,Volkswagen Atlas,,,,modelo de automóvel
Q27765737,Volkswagen Atlas,,,,modelo de automóvel
Q3562805,Volkswagen BlueSport,,,,modelo de automóvel
Q3562805,Volkswagen BlueSport,,,,modelo de automóvel
Q1417237,Volkswagen Bora,,,,modelo de automóvel
Q1417237,Volkswagen Bora,,,,modelo de automóvel
Q10392360,Volkswagen Bora (China),,,,modelo de automóvel
Q2166300,Volkswagen Brasília,,,,modelo de automóvel
Q2506803,Volkswagen Chico,,,,modelo de automóvel
Q1752617,Volkswagen Citi,,,,modelo de automóvel
Q7940303,Volkswagen Concept A,,,,carro conceptual
Q7940303,Volkswagen Concept A,,,,modelo de automóvel
Q7940303,Volkswagen Concept A,,,,carro conceptual
Q7940303,Volkswagen Concept A,,,,modelo de automóvel
Q1971906,Volkswagen Constellation,,,,truck model
Q917166,Volkswagen Corrado,,,,modelo de automóvel
Q1351132,Volkswagen Crafter,,,,modelo de automóvel
Q1344307,Volkswagen Delivery,,,,truck model
Q1752148,Volkswagen Derby,,,,modelo de automóvel
Q1417445,Volkswagen E-Up!,,,,modelo de automóvel
Q26868421,Volkswagen EA 48,,,,modelo de automóvel
Q500665,Volkswagen Eos,,,,modelo de automóvel
Q3222834,Volkswagen Eurovan,,,,commercial vehicle
Q3222834,Volkswagen Eurovan,,,,modelo de automóvel
Q918047,Volkswagen Fox,,,,modelo de automóvel
Q152946,Volkswagen Fusca,,,Alemanha,modelo de automóvel
Q152946,Volkswagen Fusca,,,Alemanha Nazi,modelo de automóvel
Q152946,Volkswagen Fusca,,,Alemanha Ocidental,modelo de automóvel
Q152946,Volkswagen Fusca,,,Alemanha,automobile model series
Q152946,Volkswagen Fusca,,,Alemanha Nazi,automobile model series
Q152946,Volkswagen Fusca,,,Alemanha Ocidental,automobile model series
Q1968742,Volkswagen Fusca (A5),,,Alemanha,modelo de automóvel
Q275442,Volkswagen Gol,,,,modelo de automóvel
Q1545536,Volkswagen Golf MK1,,,Alemanha,modelo de automóvel
Q1361914,Volkswagen Golf Mk3,,,Alemanha,modelo de automóvel
Q1886304,Volkswagen Golf Plus,,,,modelo de automóvel
Q15305557,Volkswagen Golf Sportsvan,,,,modelo de automóvel
Q15305557,Volkswagen Golf Sportsvan,,,,modelo de automóvel
Q86668068,Volkswagen ID.4,,,,modelo de automóvel
Q92625881,Volkswagen ID.6,,,,modelo de automóvel
Q116044540,Volkswagen ID.7,,,,modelo de automóvel
Q386150,Volkswagen Iltis,,,Alemanha Ocidental,military vehicle model
Q1780823,Volkswagen Iroc,,,,carro conceptual
Q1780823,Volkswagen Iroc,,,,modelo de automóvel
Q2506848,Volkswagen Jetta V,,,,modelo de automóvel
Q1537473,Volkswagen Jetta VI,,,,modelo de automóvel
Q1537473,Volkswagen Jetta VI,,,,modelo de automóvel
Q1569892,Volkswagen K 70,,,,modelo de automóvel
Q1138262,Volkswagen Karmann Ghia,,,,modelo de automóvel
Q9367941,Volkswagen Kommandeurwagen,,,,modelo de automóvel
Q26791717,Volkswagen Kommandeurwagen,,,,modelo de automóvel
Q26791717,Volkswagen Kommandeurwagen,,,,modelo de automóvel
Q678949,Volkswagen Kübelwagen,,,Alemanha Nazi,modelo de automóvel
Q678949,Volkswagen Kübelwagen,,,Alemanha Nazi,modelo de automóvel
Q20723422,Volkswagen Lamando,,,,modelo de automóvel
Q1587594,Volkswagen Lavida,,,,modelo de automóvel
Q10392374,Volkswagen Logus,,,,modelo de veículo
Q10392374,Volkswagen Logus,,,,modelo de veículo
Q817309,Volkswagen Lupo,,,,modelo de automóvel
Q928248,Volkswagen Milano Taxi,,,,carro conceptual
Q928248,Volkswagen Milano Taxi,,,,modelo de automóvel
Q622618,Volkswagen New Beetle,,,Alemanha,modelo de automóvel
Q95984320,Volkswagen Nivus,,,,modelo de automóvel
Q95984320,Volkswagen Nivus,,,,modelo de automóvel
Q1543320,Volkswagen Passat (B1),,,,modelo de automóvel
Q12072924,Volkswagen Passat Alltrack,,,,modelo de automóvel
Q30600,Volkswagen Passat B2,,,,modelo de automóvel
Q6164698,Volkswagen Passat Lingyu,,,,modelo de automóvel
Q2506880,Volkswagen Passat NMS,,,,modelo de automóvel
Q158736,Volkswagen Phaeton,,,Alemanha,modelo de automóvel
Q23542823,Volkswagen Phideon,,,,modelo de automóvel
Q7940330,Volkswagen Plattenwagen,,,,modelo de automóvel
Q119662,Volkswagen Pointer,,,,modelo de automóvel
Q3434700,Volkswagen Polo Classic,,,,modelo de automóvel
Q7221174,Volkswagen Polo G40,,,,modelo de automóvel
Q3399391,Volkswagen Polo R WRC,,,,racing automobile model
Q1450822,Volkswagen Routan,,,,modelo de automóvel
Q1411491,Volkswagen SP2,,,,modelo de automóvel
Q1506352,Volkswagen Santana,,,,modelo de automóvel
Q10392379,Volkswagen Santana Quantum,,,,modelo de veículo
Q2182856,Volkswagen Saveiro,,,,modelo de automóvel
Q317018,Volkswagen Schwimmwagen,,,Alemanha Nazi,modelo de automóvel
Q2506947,Volkswagen SpaceFox,,,,modelo de automóvel
Q39075622,Volkswagen T-Cross,,,,modelo de automóvel
Q39075622,Volkswagen T-Cross,,,,modelo de automóvel
Q15966358,Volkswagen T-Roc,,,,modelo de automóvel
Q15966358,Volkswagen T-Roc,,,,modelo de automóvel
Q7940334,Volkswagen Taigun,,,,modelo de automóvel
Q106580835,Volkswagen Talagon,,,,modelo de automóvel
Q106580835,Volkswagen Talagon,,,,modelo de automóvel
Q56402691,Volkswagen Taos,,,,modelo de automóvel
Q56402691,Volkswagen Taos,,,,modelo de automóvel
Q2804891,Volkswagen Tarek,,,,racing automobile model
Q1888382,Volkswagen Taro,,,,modelo de automóvel
Q10392384,Volkswagen Taro II,,,,modelo de automóvel
Q60848868,Volkswagen Tarok,,,,modelo de automóvel
Q113677858,Volkswagen Tavendor,,,,modelo de automóvel
Q464786,Volkswagen Touran,,,,modelo de automóvel
Q833795,Volkswagen Typ 181,,,,modelo de automóvel
Q1500251,Volkswagen Typ 3,,,,modelo de automóvel
Q933636,Volkswagen Typ 4,,,,modelo de automóvel
Q527372,Volkswagen Type 147,,,,modelo de automóvel
Q77251000,Volkswagen Viloran,,,,modelo de automóvel
Q77251000,Volkswagen Viloran,,,,modelo de automóvel
Q43706733,Volkswagen Virtus,,,,modelo de automóvel
Q43706733,Volkswagen Virtus,,,,modelo de automóvel
Q9094747,Volkswagen Voyage,,,,modelo de automóvel
Q2506984,Volkswagen Worker,,,,modelo de automóvel
Q10392388,Volkswagen XL1,,,,carro conceptual
Q10392388,Volkswagen XL1,,,,modelo de automóvel
Q17632770,Volkswagen e-Golf,,,,modelo de automóvel
Q748949,Volkswagen up!,,,,modelo de automóvel
Q7940332,Volkswagen Polo Playa,1996,,,modelo de automóvel
Q372041,Volkswagen Microbus Concept,2005,,,carro conceptual
Q372041,Volkswagen Microbus Concept,2005,,,modelo de automóvel
Q1835920,Volkswagen EcoRacer,2005,,,carro conceptual
Q1835920,Volkswagen EcoRacer,2005,,,modelo de automóvel
Q1835920,Volkswagen EcoRacer,2005,,,modelo de veículo
Q1835920,Volkswagen EcoRacer,2005,,,carro conceptual
Q1835920,Volkswagen EcoRacer,2005,,,modelo de automóvel
Q1835920,Volkswagen EcoRacer,2005,,,modelo de veículo
Q7940311,Volkswagen GX3,2005,,,carro conceptual
Q7940311,Volkswagen GX3,2005,,,modelo de automóvel
Q7940311,Volkswagen GX3,2005,,,carro conceptual
Q7940311,Volkswagen GX3,2005,,,modelo de automóvel
Q25378432,Volkswagen Sport Coupé Concept GTE,2015,,,carro conceptual
Q25378432,Volkswagen Sport Coupé Concept GTE,2015,,,modelo de automóvel
Q25388003,Volkswagen T-Prime Concept GTE,2016,,,carro conceptual
Q25388003,Volkswagen T-Prime Concept GTE,2016,,,modelo de automóvel
Q28064385,Volkswagen Arteon,2017,,,modelo de automóvel
Q28064385,Volkswagen Arteon,2017,,,modelo de automóvel
Q63636478,Volkswagen ID.3,2019,,,modelo de automóvel
Q107185864,Volkswagen Multivan T7,2021,,,modelo de automóvel
Q107938216,Volkswagen ID.5,2022,,,modelo de automóvel
Q130526133,Volkswagen Tayron I,2024,,,modelo de automóvel
